Scheme
Credit Link Capital Subsidy Scheme for Technology Upgradation
Credit based Schemes under National Scheduled caste Development Corporation
DDU-GKY (Deen Dayal Upadhyaya Rural Skills Schemes)
Dairy Entrepreneurship Development Scheme
Dairy Entrepreneurship Development Scheme (DEDS)
Dairy Processing and Infrastructure Development Fund (DIDF) Scheme
Dairy Sahakar Scheme
Dastkar Shashktikaran Yojana
Dedicated Agriculture & Fishery Feeder
Deen Dayal Upadhyay Kaushal Kendra
Deendayal Antyodaya Yojana
Deendayal Disabled Rehabilitation Scheme (DDRS)
Deendayal Upadhyaya Gram Jyoti Yojana (DDUGJY)
Deendayal Upadhyaya Grameen Kaushalya Yojana
Deep Sea Fishing and Tuna Processing
Defence Testing Infrastructure (DTI) Scheme
Design and Technology Up-gradation Scheme
Development of AYUSH industry Cluster
Development of Domestic Fish Marketing
Development of Particularly Vulnerable Tribal Groups (PTGs)
Digital India Programme
Direct Benefit Transfer (DBT)
Distribution of solar lanterns
District Disability Rehabilitation Centres (Ddrcs)
Dr Ambedkar Scheme of Interest Subsidy on Educational Loan for Overseas Studies for OBCs EBCs
Dr. Ambedkar Pre-Matric and Post-Matric Scholarship for DNTs
EMRS
EVIN (Electronic Vaccine Intelligence Network)
Early Career Research Award
Early intervention activities
Education Loan Scheme of the NBCFDC
Education Quality Upgradation and Inclusion Programme (EQUIP)
Ek Bharat Shrestha Bharat Programme
Eklavya Model Residential Schools (EMRS)
Electronics Development Fund (EDF)
Entrepreneurial Scheme for OBCs through NBCFDC
Entrepreneurship and Skill Development of Differently abled People
Environment Education
Equity support to NSTFDC/STFDC
Establishment of Ashram Schools in Tribal Sub-Plan Areas
Extra Mural Research Funding (Individual Centric)
FAME India Scheme
Family Counselling Centre Scheme
Faster Adoption and Manufacturing of Electric (& Hybrid) Vehicles in India Scheme
Financial Assistance for Appointment of language Teachers
"Financial Assistance for supply of tools, safety equipment, looms, furnace etc"
Financial Support to Public Private Partnerships in Infrastructure Viability Gap Funding
Fisheries Development in Reservoirs
Fodder Development Scheme
Food Subsidy
"Formation and Promotion of 10,000 New Farmer Producer Organizations (FPOs)"
Free Coaching and Allied Scheme for Minorities
Free coaching scheme for OBC students
Free coaching scheme for SC students
Garib Kalyan Rojgar Abhiyaan
General Grant-in-Aid Scheme in the field of Women and Child Development
Gharaunda (Life Long Shelter and Care Scheme)
Girl Child Prosperity Scheme
Gold Monetization Scheme (GMS)
Government Stores Purchase Programme
Gramin Bhandaran Yojana
Grant in Aid on Child Labour
Grants under Article 275 (1) of the Constitution of India
Grants-in-Aid to TRIs for conducting research studies
Grants-in-aid Scheme for Voluntary Agencies
Grants-in-aid to Research and Academic Institutions and Voluntary Organizations / Non-governmental Organizations for undertaking research in approved labour related matters
Green Business Scheme
Green Revolution � Krishonnati Yojana
Green Skill Development Programme
GyanPrabha (Scholarship Scheme)
HRIDAY
Hamari Dharohar
Hand holding support to registered institutions for PwDs
Health Insurance Scheme (HIS)
Heritage City Development and Augmentation Yojana
High Risk - High Reward Research
Human Resource Development Scheme for handicraft Sector
INSPIRE Programme
ITEC�Indian Technical & Economic Cooperation Programme
Improvement of PWD Roads in Urban Areas
Incentives to private sector employers for providing employment to persons with disabilities
Inclusive Education of the Disabled at Secondary Stage (IEDSS)
India BPO Promotion Scheme
India Cooling Action Plan (ICAP)
Indira Gandhi Matritva Sahyog Yojana (IGMSY) - A Conditional Maternity Benefit Scheme
Indira Gandhi National Disability Pension Scheme
Indira Gandhi National Old Age Pension Scheme
Indira Gandhi National Widow Pension Scheme (IGNWPS)
Industry Relevant R&D
Information and Communication Technology (ICT) in Schools
Infrastructure Development for Harbours and Landing Centres
Infrastructure Development in Minority Institutes (IDMI)
Infrastructure Facilities for Judiciary
Infrastructure and Technology Development Scheme
Innovation in Science Pursuit for Inspired Research Programme
Inspire Award Scheme
Institutional Support for Development and Marketing of Tribal Product
Integrated Child Development Services(ICDS)
Integrated Child Protection Scheme (ICPS)
Integrated Diseases Surveillance Program (IDSP)
Integrated Housing Scheme
Integrated Management of Public Distribution System (IM-PDS)
Integrated Power Development Scheme
Integrated Scheme for Agricultural Marketing (ISAM)
Integrated Scheme for Agricultural Marketing (ISAM)/(Gramin Bhandaran Yojana)
Intensified Diarrhea Control Fortnight (IDCF)
Intensive Aquaculture in Ponds and Tanks
Interest Subvention Scheme For Farmers
Interlinking of Rivers Project (ILR)
Iodine Deficiency Disorder Control Programme (IDDCP)
Jal Jeevan Mission
Jalmani
Janani Express.
Janani Shishu Suraksha Karyakram
Janani Suraksha Yojana
Jeevan Pramaan
Jiyo Parsi - Scheme for Containing Population Decline of Parsis in India
Job Fair
KUSUM - PM Kisan Urja Suraksha Evam Utthan Mahabhiyan (PM Energy Security and Upliftment Campaign) 
Kala Utsav
Kalinga Sikshya Sathi Yojana (KSSY)
Kasturba Gandhi Balika Vidyalaya
Kerosene Subsidy
Khelo India � National Programme for Development of Sports
Kisan Credit Card (KCC)
Kishore Vaigyanik Protsahan Yojana
Kishori Shakti Yojana
Know India Programme (KIP)
Krishi Vigyan Kendras (KVK)
Krishonnati Yojana
Land Passbook
Laqshya- Labour Room Quality Improvement Initiative
Livestock Insurance Scheme
Loan Schemes of National Handicapped Finance and Development Corporation (NHFDC)
MG-NREGA
MIDH
MPLADS
Madhubabu Pension Yojana
Mahatma Gandhi Bunkar Bima Yojana (MGBBY)
Mahatma Gandhi National Rural Employment Guarantee Scheme (MGNREGA)
Mahila Adhikarita Yojana (MAY)
Mahila Police Volunteers
Mahila Samman Savings Certificate (MSSC)
Mahila Samridhi Yojana (MSY)
Mahila e-Haat
Make in India
Manufacturing Competitiveness Programme (NMCP)
Market Development Assistance Scheme for Micro/ Small manufacturing enterprises/ Small & Micro exporters (SSI-MDA)
Marketing Assistance Scheme
Marketing Linkages/Melas/ Exhibitions/ Trade Fairs
Marketing Support To Beneficiaries
Marketing Support and Services for Handicraft producers
Marketing Training To Beneficiaries
Maternity Safety Scheme
Maulana Azad National Academy for Skills (MANAS)- A Special purpose vehicle
Maulana Azad National Fellowship (MANF)
Medhabruti Scholarship
Mega Clusters
Members of Parliament Local Area Development Scheme
Mentors Training Program On Self Advocacy
Merit cum Means based ScholarshipÃÂ for students belonging to the Minority Communities
Micro & Small Enterprises - Cluster Development Programme (MSE-CDP)
Micro Credit Finance (MCF) for SC entrepreneurs
Mid-Day Meal Scheme (MDM)
Miscellaneous Initiatives
Mission Indradhanush
Mission Organic Value Chain Development in North East Region (MOVCDNER)
Mission Parivar Vikas
Mission for Integrated Development of Horticulture (MIDH)
Mo Jami Mo diha
Model School
Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme
Mother NGO (MNGO) � Service NGO (SNGO) Programme.
Mother�s Absolute Affection (MAA)
Mukhya Mantri Sadak Yojana
Multi-sectoral Development Programme (MsDP)
NAPCC
NARI SHAKTI PURASKAR
NBCFDC for promoting Social Empowerment
NCLP
NCS
NFSM
NFSM : Commercial Crop Sugarcane
NFSM: Commercial Crop Cotton
NFSM: Commercial Crop Jute
NHM
NHM/HMNEH/NMSA Sub schemes under MIDH
NMOOP
NMOOP/OPAE.
NMSA
NPP (National Perspective Plan)
NSKFDC Schemes for livelihoods promotion
NTEP
Nai Manzil
Nai Roshni - The Leadership Development of Minority Women
"Nai Udaan - Support for Students for preparation of Main Examination who clear Prelims conducted by UPSC/SSC, State Public Service Commission (PSC) etc"
Namami Gange Programme
Nanaji Deshmukh scheme of Construction of Hostels for DNT Boys and Girls
National Action Plan on Climate Change (NAPCC)
National Afforestation Programme: A Participatory Approach to Sustainable Development of Forests
National Agricultural Higher Education Project (NAHEP)
National Agriculture Market (E-NAM)
National Animal Disease Control Programme (NADCP)
National Awards For The Empowerment Of Persons With Disabilities
National Awards to Teachers
National Ayush Mission (Nam) 
National Biogas & Manure Management Program (NBMMP)
National Broadband Mission
National Career Service
National Child Awards for Exceptional Achievement
National Child Labour Project (NCLP)
National Clean Air Programme (NCAP)
National Creche Scheme
National Dairy Plan-I
National Deworming Initiative (National Deworming Day)
National Education Mission
National Family Benefit Scheme
National Fellowship (NF) for OBC Students
"National Food Security Act (NFSA), 2013"
National Food Security Mission (NFSM)
National Health Mission (NHM)
National Higher Education Mission
National Hydrology Project
National Initiative for Proficiency in Reading with Understanding and Numeracy (NIPUN Bharat) Mission
National Innovations on Climate Resilient Agriculture (NICRA)
National Land Records Modernization Programme (NLRMP)
National Leprosy Eradication Programme (NLEP)
National Livestock Mission (NLM)
National Means Cum-Merit Scholarship Scheme (NMMSS)
National Mental Health Programme (NMHP)
National Mission For A Green India (GIM)
National Mission On Edible Oils-Oil Palm (NMEO-OP)
National Mission for Sustainable Agriculture (NMSA)
National Mission on Agricultural Extension and Technology (NMAET)
"National Mission on Agricultural Extension and Technology (NMAET), Sub- Mission on Seed and Planting Material (SMSP) under NMAET and Seed Village Programme."
National Mission on Bovine Productivity
National Mission on Nano Science and Technology
National Mission on Oilseeds and Oil Palm (NMOOP)
National Mission on Sustainable Agriculture (NMSA)
National Monsoon Mission.
National Oral Health Programme (NOHP)
National Overseas Scholarship Scheme for SCs
National Overseas Scholarship for students with Disabilities
National Overseas Scholarships for Scheduled Tribe Students
National Pension System
National Pension System (NPS)
National Plan for Technical Assistance
National Policy on Software Products (2019)
National Post Doctoral Fellowship (N-PDF)
National Program for Bovine Breeding and Dairy Development (NPBBDD)
National Programme For Youth And Adolescent Development
National Programme for Control of Blindness ( NPCB )
National Programme for Health Care of the Elderly(NPHCE)
National Programme for Prevention and Control of Deafness (NPPCD)
National Programme for Prevention and Control of Fluorosis (NPPCF)
National Research Professorship (NRP)
National Rural Drinking Water Programme
National Rural Health Mission (NRHM)
National Scheduled Caste and Scheduled Tribe Hub
National Scheme of Incentives to Girls for Secondary Education
National Scheme on Welfare of Fishermen
National Service Scheme
National Social Assistance Programme
National Supercomputing Mission
National Tobacco Control Programme (NTCP)
National Tuberculosis Elimination Program
National Urban Health Mission
National Urban Livelihoods Mission-Capacity Building and Training
National Urban Livelihoods Mission-Employment through Skills Training & Placement
National Urban Livelihoods Mission-Innovative & Special Projects (I&SP)
National Urban Livelihoods Mission-Scheme of Shelter for Urban Homeless
National Urban Livelihoods Mission-Self-Employment Programme
National Urban Livelihoods Mission-Social Mobilisation and Institution Development
National Urban Livelihoods Mission-Support to Urban Street Vendors
National Vector Borne Disease Control Programme (NVBDCP)
National Viral Hepatitis Control Program (NVHCP)
National Youth Corps
National overseas Scholarship for students with disability
National programme for Bovine Breeding
Nationwide Artificial Insemination Programme (NAIP)-PII
Nehru Yuva Kendra
Niramaya (Health Insurance) Scheme
Non consortia tender marketing scheme
Nutrient Based Subsidy Scheme
Odisha Community Tank Management Project
Odisha Distribution System Strengthening Programme
Odisha Integrated Irrigated Agriculture & Water Management Investment Programme (OIIAWMIP)
Odisha Power Sector Improvement Projects (OPSIP)
Odisha State Road Project (OSRP)
Odisha Water Sector Development Project
On-line Autism Information and Resource Center Portal
One Nation One Ration Card (ONoRC)
One Rank One Pension Scheme
One Stop Crisis Centre
Operation Greens
PFDF
PM AASHA (Farmer Income Protection Scheme)
PM Adarsh Gram Yojana
PM Annadata Aay Sanrakshan Abhiyan
PM Awaas Yojana - (Urban) (PM Housing Scheme Urban) 
PM Awas Yojana - (Gramin) (PM Housing Scheme Rural)
PM Bhartiya�Jan Aushadhi�Kendra
PM Crop Insurance Scheme
PM Fasal Bima Yojana (PMFBY)
PM Formalization of Micro Food Processing Enterprises (PM- FME) Scheme
PM Gram Sadak Yojana
PM Indian Public Medicine Scheme (PMBJK)
PM Jan Dhan Yojana
PM Jan Vikas Karyakaram
PM Jeevan Jyoti Bima Yojana
PM KISAN (PM Farmer's Tribute Fund)
PM Kaushal Vikas Yojana
PM Kisan Samman Nidhi
PM Krishi Sinchai Yojana
PM Lighting Scheme
PM Maternity Support Scheme
PM Matritva Vandana Yojana
PM Matsya Sampada Yojana
PM Micro Units Development and Refinance Agency Scheme
PM Model Village Scheme
PM Mudra Yojana
PM Poshan Shakti Nirman Abhiyaan
PM SYM
PM Shram Yogi Mandhan
PM Skill Development Scheme
PM Suraksha Bima Yojana
PM Swasthya Suraksha Yojana
PM Ujjwala Yojana
PM's Employment Generation Programme
PM's People's Wealth Scheme
PMEGP
PMGSY (PM Village Road Scheme)
PMJJBY (PM Life Light Insurance Scheme)
PMJVK (PM People Progress Programme)
PMKSY (PM Agriculture Irrigation Scheme)
PMMSY (PM Fish Resources Scheme)
PMSBY (PM Safety Insurance Scheme)
PMSSY (PM Health Protection Scheme)
PPP in Malaria Control.
Padhe Bharat Badhe Bharat
Padho Pardesh - Scheme of Interest Subsidy on Educational Loans for Overseas Studies for the Students Belonging to the Minority Communities.
Panchayat Sashaktikaran Puraskars
Pandit Deen Dayal Upadhayay Sanchar Kaushal Vikas Pratisthan (PDDUSKVP) Scheme
Paramparagat Krishi Vikas Yojana (PKVY)
Participatory Guarantee System for India (PGS-India)
Pathani Samanta Mathematics Talent Scholarship Scheme
Plastic Park Scheme
Pooled Finance Development Fund Scheme
Poor Welfare Employment Campaign
Post Harvest Technology Management under SMAM ( NMAET)
Post Matric Scholarship (PMS) for ST students
Post-Matric Scholarship Scheme for Minority
Post-Matric Scholarship for SC students
Post-Matric Scholarship for Students with Disabilities
Post-Matric Scholarship to the EBC Students
Post-Matric Scholarship to the OBC Students
Pradhan Mantri Annadata Aay Sanrakshan Abhiyan (PM-AASHA)
Pradhan Mantri Awas Yojana- Urban
Pradhan Mantri Bhartiya JanaushadiPariyojana (PM-BJP)
Pradhan Mantri Fasal Bima Yojana (PMFBY)
Pradhan Mantri Garib Kalyan Yojana
Pradhan Mantri Gram Sadak Yojana (PMGSY)
Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA)
Pradhan Mantri Innovative Learning Programme  DHRUV
Pradhan Mantri Jan Dhan Yojana
Pradhan Mantri Jeevan Jyoti Bima Yojana
Pradhan Mantri Kaushal Vikas Yojana
Pradhan Mantri Kisan Maan-Dhan Yojana (PMKMY)
Pradhan Mantri Kisan Samman Nidhi (PM Kisan)
Pradhan Mantri Kisan Sampada Yojana
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY
Pradhan Mantri Matsya Sampada Yojana (PMMSY) Scheme
Pradhan Mantri Mudra Yojana (PMMY)
Pradhan Mantri Suraksha Bima Yojana
Pradhan Mantri Surakshit Matritva Abhiyaan
Pradhan Mantri Swasthya Suraksha Yojana (PMSSY)
Pradhan Mantri Vaya VandanA Yojana (PMVVY)
Pravasi Kaushal Vikas Yojana
Pre Matric Scholarship for minority students
Pre-Matric Scholarship for Students with Disabilities
Pre-Matric Scholarship to the OBC Students
Pre-Matric Scholarships to the Children of those Engaged in occupations involving cleaning and prone to health hazards
Pre-matric Scholarship (Class IX and X)
Pre-matric scholarship to SC students
Price Stabilization Fund (PSF)
Prime Ministers Employment Generation Programme (PMEGP)
Prime Ministers Research Fellowship (PMRF)
Production Linked Incentive (PL) Scheme (for Promotion of Domestic Manufacturing of Medical Devices)
Production Linked Incentive (PLI) Scheme for Large Scale Electronics Manufacturing
Production Linked Incentive (PLI) Scheme for Promoting Telecom & Networking Products
Production Linked Incentive Scheme (PLI) for White Goods (Air Conditioners and Led Lights) Manufacturers in India
Production Linked Incentive Scheme (for Promotion of Domestic Manufacturing of Critical KSMS (Key Starting Materials)/ Drug Intermediates and APIS (Active pharmaceutical ingredients))
Production Linked Incentive Scheme for Food Processing Industry (PLISFPI)
Production Linked Incentive Scheme for Pharmaceuticals
Project Mausam
Promotion Of Agricultural Mechanization For Insitu Management Of Crop Residue (SubComponent Of Green Revolution-Krishonnati Yojana)
"Promotion and Strengthening of Agricultural Machines through Training, Testing and Demonstration"
Promotion of Bulk Drug Parks
Promotion of Scouting & Guiding
Promotion of Solar Photovoltaic Devices/ Systems in Urban Areas & Industry
Promotion of University Research and Scientific Excellence (PURSE)
Pulse Polio Programme
Quality Milk Programme
RGSA (National Village Swaraj Campaign)
RKVY (National Agriculture Development Programme)
RSBY (National Health Insurance Programme)
Rajiv Gandhi National Creche Scheme For the Children of Working Mothers
Rajiv Gandhi National Fellowship for SCs
Rajiv Gandhi National Fellowship for ST Students
Rajiv Gandhi National Fellowship for Students with Disabilities
Rajiv Gandhi Panchayat Sashaktikaran Abhiyan
Rajiv Gandhi Scheme for Empowerment of Adolescent Boys
Rajiv Gandhi Scheme for Empowerment of Adolescent Girls (RGSEAG) Sabla
Rajiv Gandhi Shilpi Swasthya Bima Yojana (RGSSBY)
Rajiv Rinn Yojana
Rashtiya Swasthiya Bima Yojana (RSBY)
Rashtriya Arogya Nidhi (RAN)
Rashtriya Bal SwasthyaKaryakram (RBSK)
Rashtriya Gokul Mission
Rashtriya Gram Swaraj Abhiyan
Rashtriya Kishor Swasthya Karyakram
Rashtriya Krishi Vikas Yojana � Remunerative Approaches for Agriculture And Allied Sector Rejuvenation (RAFTAAR) or (RKVY-RAFTAAR)
Rashtriya Madhyamik Shiksha Abhiyan (RMSA)
Rashtriya Swasthya Bima Yojana
Rashtriya Uchchatar Shiksha Abhiyan (RUSA)
Raw Material Assistance Scheme
Rehabilitation of Bonded labour Scheme
Revised National Tuberculosis Control Programme (RNTCP)
Revised scheme for Up-Gradation to Centre of Excellence
"Revival, Reform and Restructuring Package for Handloom Sector"
Roof Top Systems for diesel abatement
Rural Godown Scheme
Rural Infrastructure Development Fund (RIDF)
SAG (Adolescent Girls (AG) Scheme)
SAGY (Saanjhi - Member of Parliament Model Village Scheme)
SARDP-NE
SBM (Gramin)
SERB Woman Excellence Award
SHM under MSA NNMOOP
SMSP and Seed Village Programme.
STARS
SWADHAR Greh (A Scheme for Women in Difficult Circumstances)
Saakshar Bharat
Sahyogi - Care Givers Training Scheme
Sakhi
Saksham
Samagra Shiksha
SamagraSiksha- An Integrated Scheme for School Education
Samarth (Residential Care Scheme)
Sameep - Students and MEA Engagement Programme
Sampoorna Grameen Rozgar Yojana
Sanitary Marts Scheme
Sansad Adarsh Gram Yojana
Saransh
Sarva Shiksha Abhiyaan.
Sarva Sikshya Abhiyan (SSA)
"Scheme For Acquisition, Cataloging, Digitization and Publication of Text Book & Manuscripts"
Scheme MSP to MFP
Scheme Strengthening of Pharmaceutical Industry (SPI)
Scheme for Adolescent Girls
Scheme for Awareness Generation and Publicity
Scheme for Extra Mural Research projects on Indian Systems of Medicine and Homoeopathy
Scheme for Higher Education Youth in Apprenticeship and Skills (SHREYAS)
"Scheme for Implementation of Persons with Disabilities Act, 1995 (SIPDA)"
Scheme for Promotion of Culture of Science (SPOCS)
Scheme for Promotion of Manufacturing of Electronic Component and Semiconductors (SPECS)
Scheme for Promotion of Medical Devices Park
Scheme for Providing Quality Education in Madarsas (SPQEM)
Scheme for Public Health Initiatives scheme
Scheme for Remission of Duties and Taxes on Exported Products (RoDTEP)
Scheme for Strengthening of State Waqf Boards
Scheme for Trans-disciplinary Research for Indias Developing Economy (STRIDE)
Scheme for construction and running of GirlsÃÂ Hostel for students of secondary and higher secondary schools
Scheme of Centers of Excellence
Scheme of Grant in Aid to Voluntary Organizations working for welfare of STs
Scheme of Support to Voluntary Agencies for Adult Education & Skill Development
Scheme of national award for the best work done in a year in the cause of children
Schemes for Coastal Aquaculture
Schemes for Mariculture
Schemes for Ornamental Fisheries
Schemes of Strengthening education among Scheduled Tribes Girls in a low literacy Districts
School Support Scheme
Seaweed Culture
"Securing Livelihoods, Conservation, Sustainable Use and Restoration of High Range Himalayan Ecosystem (SECURE) Himalaya Project"
Seed Village Programme under NMAET
Seekho aur Kamao (Learn & Earn) Skill Development scheme for Minorities
Self-Employment Scheme for Rehabilitation of Manual Scavengers (SRMS)
SevaBhoj Scheme
Shakti (Scheme for Harnessing and Allocating Koyala Transparently in India)
"Shifting of transformers located in School, College & Anganwadi Centres"
"Shilp Guru Award, National Award & National Merit Certificate for outstanding contribution in Handicrafts Sector."
Siksha Sahayog Yojana (SSY) Scheme
Skill Development Training Programmes for SCs
Small / Mini / Micro Hydro Power Development
Smart Cities Mission
Software Technology Park Scheme .
Soil Health Card (SHC) Scheme
Solar City programme
Solar Water Pumping Program for piped drinking water supply
Solar water pumping program for Irrigation
Sovereign Gold Bond (SGB) Scheme
Special Accelerated Road Development Programme
Special Central Assistance (SCA) to Scheduled Castes Sub Plan (SCSP)
Special Central Assistance to Tribal Sub Plan(SCA to TSP)
Special Project for KBK districts (RLTAP Scheme) .
Stand Up India Scheme
Start up India
Start up India Seed Fund Scheme
"Start-up Accelerators of MeitY for Product Innovation, Development and Growth (SAMRIDH) Programme"
State Capital Region Improvement of Power System (SCRIPS)
State Highways Development Programme (SHDP)
Stree Swabhiman
Strengthening & Modernization of Pest Management Approach in India (SMPMA)
Strengthening Teaching-Learning and Results for States (STARS) Project
Study In India
Sub - Mission on Agricultural Mechanization (SMAM)
Sub Mission on Seeds and Planting Material (SMSP) under NMAET
Sub Schemes of NHM & HMNEH under MIDH
Sub scheme of Coconut Development Board (CDB) under MIDH
Sub scheme of National Horticulture Board (NHB) under MIDH
Sub-Mission on Agricultural Mechanisation (SMAM) under NMAET
Sub-Mission on Polytechnics under the Coordinated Action for Skill Development
Sub-schemes of National Bamboo Mission (NBM) under MIDH.
Sukanya Samridhi Yojana
Support to Training and Employment Programme for Women (STEP)
Support to artisans in indigent circumstances
Surakshit Matritva Aashwasan (SUMAN) initiative
Survey of Villages Abadi and Mapping with Improvised Technology in Village Area
Svamitva Yojana
Swachh Bharat Abhiyan
Swachh Bharat Kosh (SBK)
Swachh Bharat Mission- Urban
Swachh Vidyalaya Puraskar
Swachhta Udyami Yojana
Swadhar Greh Scheme (Self-reliance Home Scheme)
System Strengthening for Elephant Corridor
Tarang Sanchar
Targeted Public Distribution System (TPDS)
Teacher on call scheme
Teachers Education Scheme
Technical Education Quality Improvement Programme (TEQIP)
Term Loan (TL) to entrepreneurs
The Odisha Power Sector Restructuring Project
Top Class Education for ST Students
Top Class Scholarship for SC Students
Trade Infrastructure for Export Scheme (TIES)
Trust Fund for Empowerment of Persons with Disabilities
Tution fee waiver scheme
UJALA
"UJJAWALA : A Comprehensive Scheme for Prevention of trafficking and Rescue, Rehabilitation and Re-integration of Victims of Trafficking and Commercial Sexual Exploitation"
USTTAD (Upgrading the Skills and Training in Traditional Arts/ Crafts for Development)
Udaan-Giving Wings to Girls
Ude Desh Ka Aam Naagrik (UDAN)/Regional Connectivity Scheme (RCS)
Umbrella scheme for Family Welfare and Other Health Interventions
Underground Cabling System
Universal Immunization Programme (UIP)
Universal Rural Employment Scheme
Unnat Bharat Abhiyan (UBA)
Unnat Chulla Abhiyan
Unnat Jyoti by Affordable LEDs for All
Upgradation Of Merit Of SC Students
Upgradation of Merit of ST Students
Urban Health Centres for slum population.
Urea Subsidy
VIUC
Vasundhara
Vegetable Initiative for Urban Clusters (VIUC)
Venture Capital Fund for Scheduled Castes
Village Electrification
Vocational Training Centres in Tribal Areas
Voluntary Disclosure of Income Scheme
Vyasa Kabi Fakir Mohan Senapati Scholarship Scheme
Water Life Mission
Women Helpline Scheme
Working Women Hostel
Workshops
World Class Institutions Scheme
Yarn Supply Scheme
Young Scientist Incentive Plan
Yuva Sahakar-Cooperative Enterprise Support And Innovation Scheme
e-Panchayat Mission Mode Project
